Designator,Mid X,Mid Y,Layer,Rotation
C1,96.43745,-57.470001,top,90
C10,126.238,-92.824,top,90
C11,184.465,-100.838,top,180
C12,158.229,-108.458,top,0
C13,157.454,-97.015,top,90
C14,175.0212,-94.6912,top,0
C16,196.149,-94.869,top,0
C17,201.361,-94.869,top,180
C18,197.866,-109.413,top,90
C19,105.005,-36.532755,top,90
C2,96.28505,-61.673001,top,270
C20,122.555,-36.532755,top,90
C21,144.78,-36.532755,top,90
C22,162.33,-36.532755,top,90
C23,184.38,-36.532755,top,90
C24,201.93,-36.532755,top,90
C25,98.679,-76.825,top,270
C28,131.86025,-43.0022,top,180
C3,171.6024,-91.5568,top,270
C30,152.654,-90.815,top,90
C31,187.96,-81.468,top,270
C32,190.246,-81.468,top,270
C33,169.291,-97.089,top,90
C34,167.005,-97.089,top,90
C35,180.5295,-79.994,top,0
C36,180.5295,-84.836,top,0
C37,180.5295,-89.662,top,0
C38,196.469,-87.6925,top,90
C39,160.909,-90.7405,top,270
C4,122.77725,-72.634,top,270
C40,174.485,-89.1032,top,180
C41,135.94715,-61.723801,top,270
C43,162.43935,-72.6848,top,270
C44,136.09955,-57.520801,top,90
C45,156.44495,-72.6848,top,270
C46,189.0522,-97.7249,top,270
C47,171.52235,-43.053,top,180
C49,175.53305,-61.673,top,270
C5,116.78285,-72.634,top,270
C51,202.02525,-72.634,top,270
C52,175.68545,-57.47,top,90
C53,196.03085,-72.634,top,270
C54,184.658,-92.8624,top,0
C55,211.10825,-43.0022,top,180
C57,130.622,-86.614,top,0
C59,110.73765,-72.634,top,270
C6,159.197,-104.521,top,0
C60,104.743251,-72.634,top,270
C61,150.39975,-72.6848,top,270
C62,144.405351,-72.6848,top,270
C63,189.98565,-72.634,top,270
C64,183.99125,-72.634,top,270
C65,118.618,-108.3942,top,270
C66,118.618,-92.8494,top,90
C7,156.845,-91.501,top,90
C8,182.626,-107.884,top,90
C9,180.594,-107.884,top,90
D1,98.11385,-51.8988,top,90
D2,209.042,-91.948,top,0
D3,209.042,-93.98,top,0
